flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-01163_20250114083819_3cb,08:38:19,2025-01-14,PFA-00994,PSA-00994,PSF-01163,0.000000,0.000000,0.000000,470.000275,122.963547,0.738376,69.044998

TIME,FLR,PAR
s,,umol+1m-2s-1
0.000000,303.532349,7001.205566
0.010000,423.814056,7001.205566
0.020000,455.357544,7001.205566
0.030000,464.011444,7001.205566
0.040000,466.508392,7001.205566
0.050000,467.416046,7001.205566
0.060000,467.930328,7001.205566
0.070000,468.286499,7001.205566
0.080000,468.550446,7001.205566
0.090000,468.781128,7001.205566
0.100000,468.954193,7001.205566
0.110000,469.063293,7001.205566
0.120000,469.172363,7001.205566
0.130000,469.279297,7001.205566
0.140000,469.369781,7001.205566
0.150000,469.452728,7001.205566
0.160000,469.532135,7001.205566
0.170000,469.581116,7001.205566
0.180000,469.632629,7001.205566
0.190000,469.683411,7001.205566
0.200000,469.757782,7001.205566
0.210000,469.756714,7001.205566
0.220000,469.785706,7001.205566
0.230000,469.803925,7001.205566
0.240000,469.852570,7001.205566
0.250000,469.887604,7001.205566
0.260000,469.880096,7001.205566
0.270000,469.900146,7001.205566
0.280000,469.928375,7001.205566
0.290000,469.957336,7001.205566
0.300000,470.000275,7001.205566
0.310000,469.983093,7001.205566
0.320000,469.980225,7001.205566
0.330000,469.972382,7001.205566
0.340000,469.989166,7001.205566
0.350000,469.973450,7001.205566
0.360000,469.967377,7001.205566
0.370000,469.970581,7001.205566
0.380000,469.958771,7001.205566
0.390000,469.979156,7001.205566
0.400000,469.988098,7001.205566
0.410000,469.959869,7001.205566
0.420000,469.941986,7001.205566
0.430000,469.926239,7001.205566
0.440000,469.925171,7001.205566
0.450000,469.904419,7001.205566
0.460000,469.910492,7001.205566
0.470000,469.874390,7001.205566
0.480000,469.868317,7001.205566
0.490000,469.851501,7001.205566
0.500000,469.872223,7001.205566
0.510000,469.803223,7001.205566
0.520000,469.772461,7001.205566
0.530000,469.748138,7001.205566
0.540000,469.718445,7001.205566
0.550000,469.685913,7001.205566
0.560000,469.673035,7001.205566
0.570000,469.631897,7001.205566
0.580000,469.604736,7001.205566
0.590000,469.582550,7001.205566
0.600000,469.560394,7001.205566
0.610000,469.492798,7001.205566
0.620000,469.477783,7001.205566
0.630000,469.427704,7001.205566
0.640000,469.405182,7001.205566
0.650000,469.358673,7001.205566
0.660000,469.321136,7001.205566
0.670000,469.281067,7001.205566
0.680000,469.247101,7001.205566
0.690000,469.194183,7001.205566
0.700000,469.174866,7001.205566
0.710000,469.097961,7001.205566
0.720000,469.042175,7001.205566
0.730000,469.029663,7001.205566
0.740000,468.980316,7001.205566
0.750000,468.912720,7001.205566
0.760000,468.850128,7001.205566
0.770000,468.800079,7001.205566
0.780000,468.733185,7001.205566
0.790000,468.709961,7001.205566
