flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-01163_20250129084946_dfb,08:49:46,2025-01-29,PFA-00994,PSA-00994,PSF-01163,0.000000,0.000000,0.000000,648.663269,182.946320,0.717964,72.831589

TIME,FLR,PAR
s,,umol+1m-2s-1
0.000000,413.184296,7001.205566
0.010000,556.245117,7001.205566
0.020000,605.706116,7001.205566
0.030000,626.404175,7001.205566
0.040000,635.181091,7001.205566
0.050000,639.159668,7001.205566
0.060000,641.125183,7001.205566
0.070000,642.215942,7001.205566
0.080000,642.945557,7001.205566
0.090000,643.479797,7001.205566
0.100000,643.914673,7001.205566
0.110000,644.193298,7001.205566
0.120000,644.498718,7001.205566
0.130000,644.764038,7001.205566
0.140000,644.997925,7001.205566
0.150000,645.214294,7001.205566
0.160000,645.388123,7001.205566
0.170000,645.555115,7001.205566
0.180000,645.712524,7001.205566
0.190000,645.865540,7001.205566
0.200000,646.027893,7001.205566
0.210000,646.125549,7001.205566
0.220000,646.226074,7001.205566
0.230000,646.324036,7001.205566
0.240000,646.415588,7001.205566
0.250000,646.522156,7001.205566
0.260000,646.615479,7001.205566
0.270000,646.689148,7001.205566
0.280000,646.762817,7001.205566
0.290000,646.837585,7001.205566
0.300000,646.954163,7001.205566
0.310000,646.987061,7001.205566
0.320000,647.044678,7001.205566
0.330000,647.123352,7001.205566
0.340000,647.182678,7001.205566
0.350000,647.243835,7001.205566
0.360000,647.313232,7001.205566
0.370000,647.371887,7001.205566
0.380000,647.410156,7001.205566
0.390000,647.469849,7001.205566
0.400000,647.519592,7001.205566
0.410000,647.507812,7001.205566
0.420000,647.535339,7001.205566
0.430000,647.596863,7001.205566
0.440000,647.635803,7001.205566
0.450000,647.686584,7001.205566
0.460000,647.714111,7001.205566
0.470000,647.768494,7001.205566
0.480000,647.833252,7001.205566
0.490000,647.893677,7001.205566
0.500000,648.000977,7001.205566
0.510000,648.006348,7001.205566
0.520000,648.016357,7001.205566
0.530000,648.069641,7001.205566
0.540000,648.097534,7001.205566
0.550000,648.118286,7001.205566
0.560000,648.151489,7001.205566
0.570000,648.168701,7001.205566
0.580000,648.202271,7001.205566
0.590000,648.233398,7001.205566
0.600000,648.315308,7001.205566
0.610000,648.313171,7001.205566
0.620000,648.343567,7001.205566
0.630000,648.354675,7001.205566
0.640000,648.367554,7001.205566
0.650000,648.426880,7001.205566
0.660000,648.453369,7001.205566
0.670000,648.466614,7001.205566
0.680000,648.499512,7001.205566
0.690000,648.513062,7001.205566
0.700000,648.576721,7001.205566
0.710000,648.561707,7001.205566
0.720000,648.586365,7001.205566
0.730000,648.584961,7001.205566
0.740000,648.600708,7001.205566
0.750000,648.631104,7001.205566
0.760000,648.617126,7001.205566
0.770000,648.647888,7001.205566
0.780000,648.663269,7001.205566
0.790000,648.651123,7001.205566
