flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-01163_20250129085106_cba,08:51:06,2025-01-29,PFA-00994,PSA-00994,PSF-01163,0.000000,0.000000,0.000000,552.977783,150.438309,0.727949,90.805641

TIME,FLR,PAR
s,,umol+1m-2s-1
0.000000,348.932159,7001.205566
0.010000,487.795837,7001.205566
0.020000,531.508301,7001.205566
0.030000,544.363953,7001.205566
0.040000,548.378723,7001.205566
0.050000,549.846436,7001.205566
0.060000,550.523071,7001.205566
0.070000,550.918213,7001.205566
0.080000,551.222900,7001.205566
0.090000,551.422852,7001.205566
0.100000,551.658875,7001.205566
0.110000,551.760437,7001.205566
0.120000,551.919922,7001.205566
0.130000,552.026489,7001.205566
0.140000,552.123413,7001.205566
0.150000,552.231079,7001.205566
0.160000,552.316162,7001.205566
0.170000,552.390564,7001.205566
0.180000,552.465698,7001.205566
0.190000,552.536865,7001.205566
0.200000,552.615540,7001.205566
0.210000,552.641968,7001.205566
0.220000,552.680237,7001.205566
0.230000,552.752869,7001.205566
0.240000,552.769653,7001.205566
0.250000,552.803284,7001.205566
0.260000,552.850464,7001.205566
0.270000,552.845093,7001.205566
0.280000,552.900574,7001.205566
0.290000,552.910583,7001.205566
0.300000,552.957764,7001.205566
0.310000,552.920227,7001.205566
0.320000,552.935974,7001.205566
0.330000,552.919128,7001.205566
0.340000,552.944519,7001.205566
0.350000,552.966370,7001.205566
0.360000,552.963501,7001.205566
0.370000,552.954529,7001.205566
0.380000,552.944519,7001.205566
0.390000,552.952026,7001.205566
0.400000,552.977783,7001.205566
0.410000,552.952759,7001.205566
0.420000,552.915955,7001.205566
0.430000,552.901611,7001.205566
0.440000,552.878357,7001.205566
0.450000,552.878357,7001.205566
0.460000,552.869812,7001.205566
0.470000,552.851562,7001.205566
0.480000,552.860840,7001.205566
0.490000,552.812927,7001.205566
0.500000,552.830078,7001.205566
0.510000,552.773621,7001.205566
0.520000,552.768616,7001.205566
0.530000,552.730347,7001.205566
0.540000,552.713135,7001.205566
0.550000,552.697083,7001.205566
0.560000,552.663086,7001.205566
0.570000,552.625183,7001.205566
0.580000,552.607666,7001.205566
0.590000,552.589417,7001.205566
0.600000,552.579773,7001.205566
0.610000,552.512878,7001.205566
0.620000,552.486755,7001.205566
0.630000,552.462830,7001.205566
0.640000,552.436340,7001.205566
0.650000,552.395935,7001.205566
0.660000,552.368408,7001.205566
0.670000,552.319763,7001.205566
0.680000,552.292236,7001.205566
0.690000,552.222473,7001.205566
0.700000,552.244995,7001.205566
0.710000,552.179199,7001.205566
0.720000,552.117371,7001.205566
0.730000,552.095520,7001.205566
0.740000,552.071228,7001.205566
0.750000,552.003967,7001.205566
0.760000,551.967163,7001.205566
0.770000,551.959961,7001.205566
0.780000,551.897400,7001.205566
0.790000,551.853088,7001.205566
