flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-01163_20250129093443_fe0,09:34:43,2025-01-29,PFA-00994,PSA-00994,PSF-01163,0.000000,0.000000,0.000000,594.730469,146.602386,0.753498,90.405144

TIME,FLR,PAR
s,,umol+1m-2s-1
0.000000,364.490387,7001.205566
0.010000,521.758301,7001.205566
0.020000,572.884094,7001.205566
0.030000,586.851929,7001.205566
0.040000,590.749390,7001.205566
0.050000,592.054382,7001.205566
0.060000,592.648010,7001.205566
0.070000,593.051086,7001.205566
0.080000,593.329651,7001.205566
0.090000,593.567871,7001.205566
0.100000,593.796753,7001.205566
0.110000,593.945496,7001.205566
0.120000,594.107849,7001.205566
0.130000,594.203369,7001.205566
0.140000,594.307068,7001.205566
0.150000,594.397217,7001.205566
0.160000,594.442627,7001.205566
0.170000,594.506958,7001.205566
0.180000,594.537354,7001.205566
0.190000,594.602478,7001.205566
0.200000,594.643616,7001.205566
0.210000,594.646790,7001.205566
0.220000,594.684692,7001.205566
0.230000,594.730469,7001.205566
0.240000,594.703308,7001.205566
0.250000,594.706543,7001.205566
0.260000,594.695068,7001.205566
0.270000,594.693298,7001.205566
0.280000,594.693665,7001.205566
0.290000,594.694031,7001.205566
0.300000,594.707947,7001.205566
0.310000,594.619995,7001.205566
0.320000,594.630737,7001.205566
0.330000,594.612122,7001.205566
0.340000,594.622498,7001.205566
0.350000,594.618896,7001.205566
0.360000,594.616394,7001.205566
0.370000,594.584229,7001.205566
0.380000,594.591003,7001.205566
0.390000,594.597839,7001.205566
0.400000,594.586365,7001.205566
0.410000,594.497314,7001.205566
0.420000,594.447632,7001.205566
0.430000,594.424377,7001.205566
0.440000,594.414368,7001.205566
0.450000,594.396118,7001.205566
0.460000,594.363220,7001.205566
0.470000,594.360352,7001.205566
0.480000,594.339233,7001.205566
0.490000,594.309937,7001.205566
0.500000,594.316711,7001.205566
0.510000,594.220886,7001.205566
0.520000,594.180115,7001.205566
0.530000,594.170837,7001.205566
0.540000,594.123962,7001.205566
0.550000,594.084961,7001.205566
0.560000,594.072083,7001.205566
0.570000,594.021301,7001.205566
0.580000,593.976624,7001.205566
0.590000,593.911499,7001.205566
0.600000,593.929077,7001.205566
0.610000,593.845703,7001.205566
0.620000,593.801025,7001.205566
0.630000,593.739136,7001.205566
0.640000,593.714111,7001.205566
0.650000,593.661560,7001.205566
0.660000,593.637207,7001.205566
0.670000,593.584656,7001.205566
0.680000,593.551758,7001.205566
0.690000,593.501343,7001.205566
0.700000,593.487366,7001.205566
0.710000,593.417297,7001.205566
0.720000,593.353271,7001.205566
0.730000,593.299255,7001.205566
0.740000,593.242065,7001.205566
0.750000,593.187683,7001.205566
0.760000,593.130127,7001.205566
0.770000,593.061462,7001.205566
0.780000,593.025696,7001.205566
0.790000,592.975281,7001.205566
