flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-01163_20250129125959_b1d,12:59:59,2025-01-29,PFA-00994,PSA-00994,PSF-01163,0.000000,0.000000,0.000000,587.624451,168.043259,0.714029,103.088089

TIME,FLR,PAR
s,,umol+1m-2s-1
0.000000,407.598511,7001.205566
0.010000,550.940063,7001.205566
0.020000,578.119385,7001.205566
0.030000,583.870422,7001.205566
0.040000,585.466125,7001.205566
0.050000,586.120239,7001.205566
0.060000,586.474670,7001.205566
0.070000,586.714966,7001.205566
0.080000,586.909546,7001.205566
0.090000,587.036865,7001.205566
0.100000,587.199951,7001.205566
0.110000,587.247864,7001.205566
0.120000,587.300781,7001.205566
0.130000,587.354431,7001.205566
0.140000,587.419861,7001.205566
0.150000,587.471741,7001.205566
0.160000,587.504272,7001.205566
0.170000,587.565063,7001.205566
0.180000,587.557190,7001.205566
0.190000,587.575439,7001.205566
0.200000,587.624451,7001.205566
0.210000,587.595459,7001.205566
0.220000,587.583679,7001.205566
0.230000,587.601562,7001.205566
0.240000,587.584717,7001.205566
0.250000,587.589050,7001.205566
0.260000,587.581177,7001.205566
0.270000,587.566467,7001.205566
0.280000,587.571472,7001.205566
0.290000,587.547546,7001.205566
0.300000,587.578674,7001.205566
0.310000,587.539673,7001.205566
0.320000,587.494263,7001.205566
0.330000,587.489990,7001.205566
0.340000,587.457764,7001.205566
0.350000,587.464600,7001.205566
0.360000,587.436646,7001.205566
0.370000,587.410583,7001.205566
0.380000,587.381592,7001.205566
0.390000,587.357666,7001.205566
0.400000,587.381592,7001.205566
0.410000,587.302917,7001.205566
0.420000,587.282532,7001.205566
0.430000,587.252502,7001.205566
0.440000,587.228149,7001.205566
0.450000,587.168091,7001.205566
0.460000,587.147705,7001.205566
0.470000,587.139160,7001.205566
0.480000,587.119446,7001.205566
0.490000,587.077637,7001.205566
0.500000,587.077637,7001.205566
0.510000,587.036133,7001.205566
0.520000,586.968201,7001.205566
0.530000,586.955688,7001.205566
0.540000,586.896301,7001.205566
0.550000,586.865906,7001.205566
0.560000,586.825867,7001.205566
0.570000,586.783630,7001.205566
0.580000,586.771118,7001.205566
0.590000,586.707825,7001.205566
0.600000,586.694946,7001.205566
0.610000,586.627014,7001.205566
0.620000,586.570862,7001.205566
0.630000,586.543335,7001.205566
0.640000,586.488953,7001.205566
0.650000,586.437134,7001.205566
0.660000,586.400269,7001.205566
0.670000,586.357727,7001.205566
0.680000,586.310852,7001.205566
0.690000,586.277588,7001.205566
0.700000,586.251526,7001.205566
0.710000,586.162781,7001.205566
0.720000,586.094849,7001.205566
0.730000,586.073059,7001.205566
0.740000,586.025818,7001.205566
0.750000,585.976501,7001.205566
0.760000,585.914978,7001.205566
0.770000,585.837036,7001.205566
0.780000,585.798767,7001.205566
0.790000,585.751526,7001.205566
