flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-01163_20250227083717_df0,08:37:17,2025-02-27,PFA-00994,PSA-00994,PSF-01163,0.000000,0.000000,0.000000,534.849670,119.324684,0.776901,46.216114

TIME,FLR,PAR
s,,umol+1m-2s-1
0.000000,316.608307,7001.205566
0.010000,469.856873,7001.205566
0.020000,510.311371,7001.205566
0.030000,519.816040,7001.205566
0.040000,522.898071,7001.205566
0.050000,524.412292,7001.205566
0.060000,525.477661,7001.205566
0.070000,526.305908,7001.205566
0.080000,527.011169,7001.205566
0.090000,527.603027,7001.205566
0.100000,528.200989,7001.205566
0.110000,528.599731,7001.205566
0.120000,529.002808,7001.205566
0.130000,529.384399,7001.205566
0.140000,529.694824,7001.205566
0.150000,529.965515,7001.205566
0.160000,530.231567,7001.205566
0.170000,530.424744,7001.205566
0.180000,530.647156,7001.205566
0.190000,530.810974,7001.205566
0.200000,531.007629,7001.205566
0.210000,531.111023,7001.205566
0.220000,531.251221,7001.205566
0.230000,531.344910,7001.205566
0.240000,531.473267,7001.205566
0.250000,531.559082,7001.205566
0.260000,531.657471,7001.205566
0.270000,531.718628,7001.205566
0.280000,531.801208,7001.205566
0.290000,531.898865,7001.205566
0.300000,532.001831,7001.205566
0.310000,532.033325,7001.205566
0.320000,532.106628,7001.205566
0.330000,532.183899,7001.205566
0.340000,532.241089,7001.205566
0.350000,532.276123,7001.205566
0.360000,532.376648,7001.205566
0.370000,532.428162,7001.205566
0.380000,532.519714,7001.205566
0.390000,532.579407,7001.205566
0.400000,532.686707,7001.205566
0.410000,532.727844,7001.205566
0.420000,532.781494,7001.205566
0.430000,532.878052,7001.205566
0.440000,532.942078,7001.205566
0.450000,533.007507,7001.205566
0.460000,533.063660,7001.205566
0.470000,533.136597,7001.205566
0.480000,533.209900,7001.205566
0.490000,533.269287,7001.205566
0.500000,533.382324,7001.205566
0.510000,533.372253,7001.205566
0.520000,533.448792,7001.205566
0.530000,533.504272,7001.205566
0.540000,533.579712,7001.205566
0.550000,533.646240,7001.205566
0.560000,533.707031,7001.205566
0.570000,533.759949,7001.205566
0.580000,533.827515,7001.205566
0.590000,533.899414,7001.205566
0.600000,533.980591,7001.205566
0.610000,534.007812,7001.205566
0.620000,534.070374,7001.205566
0.630000,534.122559,7001.205566
0.640000,534.174072,7001.205566
0.650000,534.237366,7001.205566
0.660000,534.269226,7001.205566
0.670000,534.320374,7001.205566
0.680000,534.356140,7001.205566
0.690000,534.411194,7001.205566
0.700000,534.497375,7001.205566
0.710000,534.512390,7001.205566
0.720000,534.541382,7001.205566
0.730000,534.584290,7001.205566
0.740000,534.635803,7001.205566
0.750000,534.677612,7001.205566
0.760000,534.710510,7001.205566
0.770000,534.769531,7001.205566
0.780000,534.827820,7001.205566
0.790000,534.849670,7001.205566
