flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-01163_20250227112425_cf8,11:24:25,2025-02-27,PFA-00994,PSA-00994,PSF-01163,0.000000,0.000000,0.000000,250.088089,99.252823,0.603129,207.718582

TIME,FLR,PAR
s,,umol+1m-2s-1
0.000000,177.071564,7001.205566
0.010000,230.228302,7001.205566
0.020000,244.146103,7001.205566
0.030000,247.880814,7001.205566
0.040000,248.926514,7001.205566
0.050000,249.209763,7001.205566
0.060000,249.321335,7001.205566
0.070000,249.417908,7001.205566
0.080000,249.530548,7001.205566
0.090000,249.606369,7001.205566
0.100000,249.713654,7001.205566
0.110000,249.778748,7001.205566
0.120000,249.839188,7001.205566
0.130000,249.886032,7001.205566
0.140000,249.913574,7001.205566
0.150000,249.928238,7001.205566
0.160000,249.955414,7001.205566
0.170000,249.992249,7001.205566
0.180000,250.028366,7001.205566
0.190000,250.039459,7001.205566
0.200000,250.077728,7001.205566
0.210000,250.078445,7001.205566
0.220000,250.088089,7001.205566
0.230000,250.081299,7001.205566
0.240000,250.081665,7001.205566
0.250000,250.082367,7001.205566
0.260000,250.060196,7001.205566
0.270000,250.006561,7001.205566
0.280000,250.005478,7001.205566
0.290000,249.997971,7001.205566
0.300000,250.001190,7001.205566
0.310000,249.953278,7001.205566
0.320000,249.933960,7001.205566
0.330000,249.899979,7001.205566
0.340000,249.880676,7001.205566
0.350000,249.842758,7001.205566
0.360000,249.802353,7001.205566
0.370000,249.781250,7001.205566
0.380000,249.751923,7001.205566
0.390000,249.721176,7001.205566
0.400000,249.693985,7001.205566
0.410000,249.665024,7001.205566
0.420000,249.631409,7001.205566
0.430000,249.609589,7001.205566
0.440000,249.567749,7001.205566
0.450000,249.520905,7001.205566
0.460000,249.485138,7001.205566
0.470000,249.441498,7001.205566
0.480000,249.374985,7001.205566
0.490000,249.328140,7001.205566
0.500000,249.292023,7001.205566
0.510000,249.228363,7001.205566
0.520000,249.175781,7001.205566
0.530000,249.128586,7001.205566
0.540000,249.092453,7001.205566
0.550000,249.059555,7001.205566
0.560000,249.019867,7001.205566
0.570000,248.957993,7001.205566
0.580000,248.901840,7001.205566
0.590000,248.855713,7001.205566
0.600000,248.833176,7001.205566
0.610000,248.757355,7001.205566
0.620000,248.712662,7001.205566
0.630000,248.655441,7001.205566
0.640000,248.634338,7001.205566
0.650000,248.558884,7001.205566
0.660000,248.515244,7001.205566
0.670000,248.450516,7001.205566
0.680000,248.391861,7001.205566
0.690000,248.335007,7001.205566
0.700000,248.303894,7001.205566
0.710000,248.243805,7001.205566
0.720000,248.198395,7001.205566
0.730000,248.131149,7001.205566
0.740000,248.088242,7001.205566
0.750000,248.021011,7001.205566
0.760000,247.954483,7001.205566
0.770000,247.892624,7001.205566
0.780000,247.843628,7001.205566
0.790000,247.791046,7001.205566
