Measuring Purpose,IID,Date,Height (mm),Weight (g),Notes
Porometer reading,434,29/01/2025,180,117,
Porometer reading,556,29/01/2025,215,151,
Porometer reading,82,29/01/2025,355,171,
Porometer reading,551,29/01/2025,165,146,
Porometer reading,530,29/01/2025,185,168,
Porometer reading,179,29/01/2025,175,151,
Porometer reading,244,29/01/2025,215,164,
Porometer reading,390,29/01/2025,235,167,
Porometer reading,92,29/01/2025,300,166,
Porometer reading,238,29/01/2025,250,165,
Porometer reading,111,29/01/2025,380,150,
Porometer reading,484,29/01/2025,165,148,
Porometer reading,425,29/01/2025,245,120,
Porometer reading,495,29/01/2025,130,101,
Porometer reading,621,29/01/2025,325,159,
Porometer reading,648,29/01/2025,360,103,
Porometer reading,356,29/01/2025,170,123,
Porometer reading,331,29/01/2025,165,140,
Porometer reading,117,29/01/2025,235,106,
Porometer reading,197,29/01/2025,290,110,
Porometer reading,620,29/01/2025,300,180,
Porometer reading,32,29/01/2025,310,155,
Porometer reading,15,29/01/2025,275,177,
Porometer reading,42,29/01/2025,250,97,
Porometer reading,5,29/01/2025,260,175,
Porometer reading,580,29/01/2025,350,113,
Porometer reading,414,29/01/2025,235,145,
Porometer reading,709,29/01/2025,360,157,
Porometer reading,246,29/01/2025,255,144,
Porometer reading,129,29/01/2025,390,98,
Porometer reading,462,29/01/2025,180,166,
Porometer reading,601,29/01/2025,380,186,
Porometer reading,151,29/01/2025,260,155,
Porometer reading,25,29/01/2025,275,141,
Porometer reading,348,29/01/2025,210,104,
Porometer reading,458,29/01/2025,170,163,
Porometer reading,99,29/01/2025,290,141,
Porometer reading,207,29/01/2025,270,103,
Porometer reading,719,29/01/2025,255,111,
Porometer reading,232,29/01/2025,205,154,
Porometer reading,284,29/01/2025,230,117,
Porometer reading,638,29/01/2025,495,155,
Porometer reading,732,29/01/2025,315,113,
Porometer reading,169,29/01/2025,210,170,
Porometer reading,683,29/01/2025,230,171,
Porometer reading,701,29/01/2025,320,157,
Porometer reading,503,29/01/2025,110,142,
Porometer reading,692,29/01/2025,410,179,
Porometer reading,266,29/01/2025,260,110,
Porometer reading,574,29/01/2025,290,106,
Porometer reading,308,29/01/2025,225,166,
Porometer reading,397,29/01/2025,220,143,
Porometer reading,326,29/01/2025,115,143,
Porometer reading,288,29/01/2025,130,165,
Porometer reading,595,29/01/2025,330,156,
Porometer reading,299,29/01/2025,215,117,
Porometer reading,368,29/01/2025,150,150,
Porometer reading,667,29/01/2025,200,160,
Porometer reading,449,29/01/2025,245,97,
Porometer reading,140,29/01/2025,150,175,
Porometer reading,220,29/01/2025,300,151,"30mm branch, tip missing of main"
Porometer reading,292,29/01/2025,225,145,
Porometer reading,73,29/01/2025,360,101,
Porometer reading,747,29/01/2025,270,103,
Porometer reading,215,29/01/2025,120,169,
Porometer reading,372,29/01/2025,315,101,
Porometer reading,65,29/01/2025,230,177,
Porometer reading,68,29/01/2025,360,144,
Porometer reading,444,29/01/2025,175,143,
Porometer reading,374,29/01/2025,150,125,
Porometer reading,672,29/01/2025,245,145,
Porometer reading,289,29/01/2025,315,173,
Porometer reading,743,29/01/2025,380,140,
Porometer reading,222,29/01/2025,250,107,
Porometer reading,138,29/01/2025,220,177,
Porometer reading,62,29/01/2025,390,174,
Porometer reading,224,29/01/2025,300,118,
Porometer reading,297,29/01/2025,235,117,
Porometer reading,669,29/01/2025,535,156,
Porometer reading,365,29/01/2025,140,172,
Porometer reading,512,29/01/2025,135,175,
Porometer reading,739,29/01/2025,350,170,
Porometer reading,598,29/01/2025,430,116,
Porometer reading,437,29/01/2025,330,164,
Porometer reading,69,29/01/2025,435,148,
Porometer reading,536,29/01/2025,200,,
Porometer reading,502,29/01/2025,190,127,
Porometer reading,592,29/01/2025,260,150,
IID_levels,466,17/01/2025,190,150,
IID_levels,490,17/01/2025,235,166,
IID_levels,504,17/01/2025,70,141,
IID_levels,640,17/01/2025,325,148,
IID_levels,559,17/01/2025,270,154,
IID_levels,578,17/01/2025,280,111,
IID_levels,40,17/01/2025,140,147,
IID_levels,340,17/01/2025,145,138,
Row track,77,17/01/2025,365,174,
Row track,96,17/01/2025,255,147,
Row track,124,17/01/2025,255,113,
Row track,157,17/01/2025,130,160,
Row track,354,17/01/2025,130,103,
Row track,612,17/01/2025,210,169,
Row track,85,17/01/2025,260,175,
Row track,106,17/01/2025,245,152,
Row track,206,17/01/2025,155,134,
Row track,401,17/01/2025,195,142,
IID_levels,14,17/01/2025,220,165,
Row track,435,17/01/2025,195,96,
Row track,693,17/01/2025,260,173,
IID_levels,413,17/01/2025,285,147,
IID_levels,707,17/01/2025,220,148,
Row track,227,17/01/2025,185,155,NEW
Row track,472,17/01/2025,115,147,NEW
Row track,650,17/01/2025,245,124,NEW
Row track,422,17/01/2025,140,129,NEW
Row track,528,17/01/2025,180,158,NEW
Row track,163,17/01/2025,245,159,NEW
Row track,262,17/01/2025,110,150,NEW
Row track,162,17/01/2025,245,152,NEW
Row track,264,17/01/2025,120,143,NEW
Row track,730,17/01/2025,275,107,NEW
Row track,21,17/01/2025,180,145,
Row track,154,17/01/2025,315,161,
Row track,418,17/01/2025,240,106,
As before,466,29/01/2025,250,,
As before,490,29/01/2025,225,,
As before,504,29/01/2025,100,,
As before,640,29/01/2025,440,,
As before,559,29/01/2025,270,,
As before,578,29/01/2025,275,,
As before,40,29/01/2025,140,,
As before,340,29/01/2025,160,,
As before,77,29/01/2025,400,,
As before,96,29/01/2025,310,,
As before,124,29/01/2025,265,,
As before,157,29/01/2025,195,,
As before,354,29/01/2025,175,,
As before,612,29/01/2025,225,,
As before,85,29/01/2025,305,,
As before,106,29/01/2025,165,,
As before,206,29/01/2025,270,,
As before,401,29/01/2025,220,,
As before,14,29/01/2025,245,,
As before,435,29/01/2025,185,,
As before,693,29/01/2025,360,,
As before,413,29/01/2025,335,,
As before,707,29/01/2025,255,,
As before,227,29/01/2025,190,,
As before,472,29/01/2025,185,,
As before,650,29/01/2025,390,,
As before,422,29/01/2025,,,
As before,528,29/01/2025,205,,
As before,163,29/01/2025,275,,
As before,262,29/01/2025,110,,
As before,162,29/01/2025,265,,
As before,264,29/01/2025,120,,
As before,730,29/01/2025,280,,
As before,21,29/01/2025,445,,
As before,154,29/01/2025,420,,
As before,418,29/01/2025,245,,
IID_levels,167,17/01/2025,200,161,
IID_levels,655,17/01/2025,200,121,"Unhappy, lost bottom leaves"
IID_levels,314,17/01/2025,145,154,
Row track,186,17/01/2025,220,144,
Row track,377,17/01/2025,160,160,
Row track,261,17/01/2025,165,147,
Row track,474,17/01/2025,145,144,NEW
IID_levels,282,17/01/2025,125,137,
Row track,282,17/01/2025,130,137,NEW
IID_levels,53,17/01/2025,275,105,
As before,167,29/01/2025,205,,
As before,655,29/01/2025,210,,
As before,314,29/01/2025,140,,
As before,186,29/01/2025,235,,
As before,377,29/01/2025,170,,
As before,261,29/01/2025,190,,
As before,474,29/01/2025,185,,
As before,282,29/01/2025,145,,
As before,53,29/01/2025,300,,
Porometer reading,167,29/01/2025,210,164,
Porometer reading,655,29/01/2025,210,130,
Porometer reading,314,29/01/2025,160,163,
Porometer reading,186,29/01/2025,235,144,
Porometer reading,377,29/01/2025,175,164,
Porometer reading,261,29/01/2025,200,150,
Porometer reading,474,29/01/2025,190,146,
Porometer reading,53,29/01/2025,305,99,
Pre-experiment,691,21/11/2024,60,123,Freshly watered
Pre-experiment,691,23/12/2024,150,115,
Old_tracking,691,2/01/2025,,169,Freshly watered
Old_tracking,691,17/01/2025,215,165,
As before,691,29/01/2025,290,,
Pre-experiment,341,4/11/2024,15,,
Pre-experiment,700,4/11/2024,25,145,
Pre-experiment,341,7/11/2024,20,,
Pre-experiment,700,7/11/2024,25,136,
Pre-experiment,341,11/11/2024,35,,
Pre-experiment,700,11/11/2024,40,,
Pre-experiment,341,21/11/2024,45,124,Freshly watered
Pre-experiment,341,23/12/2024,125,128,
Old_tracking,341,2/01/2025,,115,
Old_tracking,700,2/01/2025,,144,
Old_tracking,700,17/01/2025,290,153,
As before,700,29/01/2025,450,,
Pre-experiment,591,4/11/2024,30,,
Pre-experiment,591,7/11/2024,30,,
Pre-experiment,591,21/11/2024,95,144,Freshly watered
Pre-experiment,591,23/12/2024,220,110,
Old_tracking,591,2/01/2025,,148,
Old_tracking,591,17/01/2025,230,153,
As before,591,29/01/2025,240,,
Pre-experiment,41,4/11/2024,10,,
Pre-experiment,91,4/11/2024,10,,
Pre-experiment,191,4/11/2024,10,,
Pre-experiment,241,4/11/2024,20,,
Pre-experiment,291,4/11/2024,25,126,
Pre-experiment,391,4/11/2024,30,145,
Pre-experiment,441,4/11/2024,20,,
Pre-experiment,491,4/11/2024,10,,
Pre-experiment,541,4/11/2024,30,,
Pre-experiment,641,4/11/2024,30,151,
Pre-experiment,741,4/11/2024,40,134,
Pre-experiment,41,7/11/2024,15,,
Pre-experiment,91,7/11/2024,15,,
Pre-experiment,191,7/11/2024,15,,
Pre-experiment,241,7/11/2024,20,,
Pre-experiment,291,7/11/2024,35,120,
Pre-experiment,391,7/11/2024,40,146,
Pre-experiment,441,7/11/2024,25,,
Pre-experiment,491,7/11/2024,15,,
Pre-experiment,541,7/11/2024,40,,
Pre-experiment,641,7/11/2024,30,147,
Pre-experiment,741,7/11/2024,40,135,
Pre-experiment,41,11/11/2024,20,,
Pre-experiment,91,11/11/2024,30,,
Pre-experiment,191,11/11/2024,35,,
Pre-experiment,241,11/11/2024,40,,
Pre-experiment,291,11/11/2024,35,,
Pre-experiment,391,11/11/2024,50,,
Pre-experiment,441,11/11/2024,40,,
Pre-experiment,491,11/11/2024,15,,
Pre-experiment,541,11/11/2024,55,,
Pre-experiment,641,11/11/2024,45,,
Pre-experiment,741,11/11/2024,50,,
Pre-experiment,41,21/11/2024,20,134,Freshly watered
Pre-experiment,91,21/11/2024,50,127,Freshly watered
Pre-experiment,191,21/11/2024,70,148,Freshly watered
Pre-experiment,241,21/11/2024,80,126,Freshly watered
Pre-experiment,291,21/11/2024,50,107,Freshly watered
Pre-experiment,391,21/11/2024,75,112,Freshly watered
Pre-experiment,441,21/11/2024,70,132,Freshly watered
Pre-experiment,491,21/11/2024,20,152,Freshly watered
Pre-experiment,541,21/11/2024,100,132,Freshly watered
Pre-experiment,641,21/11/2024,50,112,Freshly watered
Pre-experiment,741,21/11/2024,45,132,Freshly watered
Pre-experiment,41,23/12/2024,110,103,
Pre-experiment,91,23/12/2024,120,103,
Pre-experiment,191,23/12/2024,180,121,Visually drought stressed
Pre-experiment,241,23/12/2024,103,98,
Pre-experiment,291,23/12/2024,140,111,
Pre-experiment,391,23/12/2024,115,125,
Pre-experiment,441,23/12/2024,190,113,
Pre-experiment,491,23/12/2024,130,136,
Pre-experiment,541,23/12/2024,170,117,
Pre-experiment,641,23/12/2024,180,111,
Pre-experiment,741,23/12/2024,110,114,
Old_tracking,41,2/01/2025,,104,
Old_tracking,91,2/01/2025,,140,
Old_tracking,191,2/01/2025,,135,
Old_tracking,241,2/01/2025,,137,
Old_tracking,291,2/01/2025,,139,
Old_tracking,391,2/01/2025,,161,Freshly watered
Old_tracking,441,2/01/2025,,142,
Old_tracking,491,2/01/2025,,,
Old_tracking,541,2/01/2025,,168,Freshly watered
Old_tracking,641,2/01/2025,,127,
Old_tracking,741,2/01/2025,,141,
Old_tracking,391,17/01/2025,140,165,
Old_tracking,541,17/01/2025,195,161,
Old_tracking,241,17/01/2025,165,148,
Old_tracking,191,17/01/2025,215,136,
Old_tracking,91,17/01/2025,205,167,
Old_tracking,641,17/01/2025,230,126,
Old_tracking,41,17/01/2025,150,97,
Old_tracking,491,17/01/2025,200,133,
Old_tracking,291,17/01/2025,235,144,
Old_tracking,441,17/01/2025,230,145,
Old_tracking,741,17/01/2025,225,147,
As before,391,29/01/2025,100,,
As before,541,29/01/2025,200,,
As before,241,29/01/2025,195,,
As before,191,29/01/2025,295,,
As before,91,29/01/2025,280,,
As before,641,29/01/2025,350,,
As before,41,29/01/2025,205,,
As before,491,29/01/2025,220,,
As before,291,29/01/2025,300,,
As before,441,29/01/2025,270,,
As before,741,29/01/2025,365,,
Pre-experiment,141,4/11/2024,35,130,
Pre-experiment,141,7/11/2024,40,125,
Pre-experiment,141,11/11/2024,45,,
Pre-experiment,141,21/11/2024,85,107,Freshly watered
Pre-experiment,141,23/12/2024,220,104,
Old_tracking,141,2/01/2025,,138,
Old_tracking,141,17/01/2025,300,144,
As before,141,29/01/2025,330,,
Porometer reading,141,29/01/2025,340,143,
Old_tracking,434,21/02/2025,195,,
Old_tracking,536,21/02/2025,220,,
Old_tracking,556,21/02/2025,280,,
Old_tracking,244,21/02/2025,265,,
Old_tracking,390,21/02/2025,275,,
Old_tracking,92,21/02/2025,425,,
Old_tracking,111,21/02/2025,475,,
Old_tracking,238,21/02/2025,320,,
Old_tracking,484,21/02/2025,200,,
Old_tracking,331,21/02/2025,185,,
Old_tracking,356,21/02/2025,190,,
Old_tracking,32,21/02/2025,405,,
Old_tracking,620,21/02/2025,410,,
Old_tracking,414,21/02/2025,290,,
Old_tracking,580,21/02/2025,360,,
Old_tracking,709,21/02/2025,450,,
Old_tracking,129,21/02/2025,415,,
Old_tracking,462,21/02/2025,255,,
Old_tracking,207,21/02/2025,295,,
Old_tracking,284,21/02/2025,230,,
Old_tracking,638,21/02/2025,560,,
Old_tracking,169,21/02/2025,265,,
Old_tracking,732,21/02/2025,360,,
Old_tracking,692,21/02/2025,570,,
Old_tracking,503,21/02/2025,185,,
Old_tracking,288,21/02/2025,190,,
Old_tracking,595,21/02/2025,420,,
Old_tracking,299,21/02/2025,230,,
Old_tracking,667,21/02/2025,300,,
Old_tracking,449,21/02/2025,250,,
Old_tracking,372,21/02/2025,350,,
Old_tracking,73,21/02/2025,385,,
Old_tracking,215,21/02/2025,280,,
Old_tracking,65,21/02/2025,355,,
Old_tracking,62,21/02/2025,475,,
Old_tracking,138,21/02/2025,240,,
