IID,Mat_Line,Drought_sev,Drought_len,Type,,,
1,NSW1079717,Low,30,Sample,,Low,250
2,NSW1079717,Low,30,Sample,,Mid,250
3,NSW1079717,Low,30,Sample,,High,250
4,NSW1079717,Low,30,Sample,,,
5,NSW1079717,Low,30,Sample,,,
6,NSW1079717,Low,30,Sample,,,
7,NSW1079717,Low,30,Sample,,,
8,NSW1079717,Low,30,Sample,,,
9,NSW1079717,Low,30,Destructive,,,
10,NSW1079717,Low,30,Destructive,,,
11,NSW1079717,Low,60,Sample,,,
12,NSW1079717,Low,60,Sample,,,
13,NSW1079717,Low,60,Sample,,,
14,NSW1079717,Low,60,Sample,,,
15,NSW1079717,Low,60,Sample,,,
16,NSW1079717,Low,60,Sample,,,
17,NSW1079717,Low,60,Sample,,,
18,NSW1079717,Low,60,Sample,,,
19,NSW1079717,Low,60,Destructive,,,
20,NSW1079717,Low,60,Destructive,,,
21,NSW1079717,Mid,30,Sample,,,
22,NSW1079717,Mid,30,Sample,,,
23,NSW1079717,Mid,30,Sample,,,
24,NSW1079717,Mid,30,Sample,,,
25,NSW1079717,Mid,30,Sample,,,
26,NSW1079717,Mid,30,Sample,,,
27,NSW1079717,Mid,30,Sample,,,
28,NSW1079717,Mid,30,Sample,,,
29,NSW1079717,Mid,30,Destructive,,,
30,NSW1079717,Mid,30,Destructive,,,
31,NSW1079717,Mid,60,Sample,,,
32,NSW1079717,Mid,60,Sample,,,
33,NSW1079717,Mid,60,Sample,,,
34,NSW1079717,Mid,60,Sample,,,
35,NSW1079717,Mid,60,Sample,,,
36,NSW1079717,Mid,60,Sample,,,
37,NSW1079717,Mid,60,Sample,,,
38,NSW1079717,Mid,60,Sample,,,
39,NSW1079717,Mid,60,Destructive,,,
40,NSW1079717,Mid,60,Destructive,,,
41,NSW1079717,High,30,Sample,,,
42,NSW1079717,High,30,Sample,,,
43,NSW1079717,High,30,Sample,,,
44,NSW1079717,High,30,Sample,,,
45,NSW1079717,High,30,Sample,,,
46,NSW1079717,High,30,Sample,,,
47,NSW1079717,High,30,Sample,,,
48,NSW1079717,High,30,Sample,,,
49,NSW1079717,High,30,Destructive,,,
50,NSW1079717,High,30,Destructive,,,
51,NSW1079717,High,60,Sample,,,
52,NSW1079717,High,60,Sample,,,
53,NSW1079717,High,60,Sample,,,
54,NSW1079717,High,60,Sample,,,
55,NSW1079717,High,60,Sample,,,
56,NSW1079717,High,60,Sample,,,
57,NSW1079717,High,60,Sample,,,
58,NSW1079717,High,60,Sample,,,
59,NSW1079717,High,60,Destructive,,,
60,NSW1079717,High,60,Destructive,,,
61,NSW1079717,Low,NA,Backup,,,
62,NSW1079717,Low,NA,Backup,,,
63,NSW1079717,Low,NA,Backup,,,
64,NSW1079717,Low,NA,Backup,,,
65,NSW1079717,Low,NA,Backup,,,
66,NSW1079717,Mid,NA,Backup,,,
67,NSW1079717,Mid,NA,Backup,,,
68,NSW1079717,Mid,NA,Backup,,,
69,NSW1079717,Mid,NA,Backup,,,
70,NSW1079717,Mid,NA,Backup,,,
71,NSW1079717,High,NA,Backup,,,
72,NSW1079717,High,NA,Backup,,,
73,NSW1079717,High,NA,Backup,,,
74,NSW1079717,High,NA,Backup,,,
75,NSW1079717,High,NA,Backup,,,
76,NSW1079714,Low,30,Sample,,,
77,NSW1079714,Low,30,Sample,,,
78,NSW1079714,Low,30,Sample,,,
79,NSW1079714,Low,30,Sample,,,
80,NSW1079714,Low,30,Sample,,,
81,NSW1079714,Low,30,Sample,,,
82,NSW1079714,Low,30,Sample,,,
83,NSW1079714,Low,30,Sample,,,
84,NSW1079714,Low,30,Destructive,,,
85,NSW1079714,Low,30,Destructive,,,
86,NSW1079714,Low,60,Sample,,,
87,NSW1079714,Low,60,Sample,,,
88,NSW1079714,Low,60,Sample,,,
89,NSW1079714,Low,60,Sample,,,
90,NSW1079714,Low,60,Sample,,,
91,NSW1079714,Low,60,Sample,,,
92,NSW1079714,Low,60,Sample,,,
93,NSW1079714,Low,60,Sample,,,
94,NSW1079714,Low,60,Destructive,,,
95,NSW1079714,Low,60,Destructive,,,
96,NSW1079714,Mid,30,Sample,,,
97,NSW1079714,Mid,30,Sample,,,
98,NSW1079714,Mid,30,Sample,,,
99,NSW1079714,Mid,30,Sample,,,
100,NSW1079714,Mid,30,Sample,,,
101,NSW1079714,Mid,30,Sample,,,
102,NSW1079714,Mid,30,Sample,,,
103,NSW1079714,Mid,30,Sample,,,
104,NSW1079714,Mid,30,Destructive,,,
105,NSW1079714,Mid,30,Destructive,,,
106,NSW1079714,Mid,60,Sample,,,
107,NSW1079714,Mid,60,Sample,,,
108,NSW1079714,Mid,60,Sample,,,
109,NSW1079714,Mid,60,Sample,,,
110,NSW1079714,Mid,60,Sample,,,
111,NSW1079714,Mid,60,Sample,,,
112,NSW1079714,Mid,60,Sample,,,
113,NSW1079714,Mid,60,Sample,,,
114,NSW1079714,Mid,60,Destructive,,,
115,NSW1079714,Mid,60,Destructive,,,
116,NSW1079714,High,30,Sample,,,
117,NSW1079714,High,30,Sample,,,
118,NSW1079714,High,30,Sample,,,
119,NSW1079714,High,30,Sample,,,
120,NSW1079714,High,30,Sample,,,
121,NSW1079714,High,30,Sample,,,
122,NSW1079714,High,30,Sample,,,
123,NSW1079714,High,30,Sample,,,
124,NSW1079714,High,30,Destructive,,,
125,NSW1079714,High,30,Destructive,,,
126,NSW1079714,High,60,Sample,,,
127,NSW1079714,High,60,Sample,,,
128,NSW1079714,High,60,Sample,,,
129,NSW1079714,High,60,Sample,,,
130,NSW1079714,High,60,Sample,,,
131,NSW1079714,High,60,Sample,,,
132,NSW1079714,High,60,Sample,,,
133,NSW1079714,High,60,Sample,,,
134,NSW1079714,High,60,Destructive,,,
135,NSW1079714,High,60,Destructive,,,
136,NSW1079714,Low,NA,Backup,,,
137,NSW1079714,Low,NA,Backup,,,
138,NSW1079714,Low,NA,Backup,,,
139,NSW1079714,Low,NA,Backup,,,
140,NSW1079714,Low,NA,Backup,,,
141,NSW1079714,Mid,NA,Backup,,,
142,NSW1079714,Mid,NA,Backup,,,
143,NSW1079714,Mid,NA,Backup,,,
144,NSW1079714,Mid,NA,Backup,,,
145,NSW1079714,Mid,NA,Backup,,,
146,NSW1079714,High,NA,Backup,,,
147,NSW1079714,High,NA,Backup,,,
148,NSW1079714,High,NA,Backup,,,
149,NSW1079714,High,NA,Backup,,,
150,NSW1079714,High,NA,Backup,,,
151,NSW1079701,Low,30,Sample,,,
152,NSW1079701,Low,30,Sample,,,
153,NSW1079701,Low,30,Sample,,,
154,NSW1079701,Low,30,Sample,,,
155,NSW1079701,Low,30,Sample,,,
156,NSW1079701,Low,30,Sample,,,
157,NSW1079701,Low,30,Sample,,,
158,NSW1079701,Low,30,Sample,,,
159,NSW1079701,Low,30,Destructive,,,
160,NSW1079701,Low,30,Destructive,,,
161,NSW1079701,Low,60,Sample,,,
162,NSW1079701,Low,60,Sample,,,
163,NSW1079701,Low,60,Sample,,,
164,NSW1079701,Low,60,Sample,,,
165,NSW1079701,Low,60,Sample,,,
166,NSW1079701,Low,60,Sample,,,
167,NSW1079701,Low,60,Sample,,,
168,NSW1079701,Low,60,Sample,,,
169,NSW1079701,Low,60,Destructive,,,
170,NSW1079701,Low,60,Destructive,,,
171,NSW1079701,Mid,30,Sample,,,
172,NSW1079701,Mid,30,Sample,,,
173,NSW1079701,Mid,30,Sample,,,
174,NSW1079701,Mid,30,Sample,,,
175,NSW1079701,Mid,30,Sample,,,
176,NSW1079701,Mid,30,Sample,,,
177,NSW1079701,Mid,30,Sample,,,
178,NSW1079701,Mid,30,Sample,,,
179,NSW1079701,Mid,30,Destructive,,,
180,NSW1079701,Mid,30,Destructive,,,
181,NSW1079701,Mid,60,Sample,,,
182,NSW1079701,Mid,60,Sample,,,
183,NSW1079701,Mid,60,Sample,,,
184,NSW1079701,Mid,60,Sample,,,
185,NSW1079701,Mid,60,Sample,,,
186,NSW1079701,Mid,60,Sample,,,
187,NSW1079701,Mid,60,Sample,,,
188,NSW1079701,Mid,60,Sample,,,
189,NSW1079701,Mid,60,Destructive,,,
190,NSW1079701,Mid,60,Destructive,,,
191,NSW1079701,High,30,Sample,,,
192,NSW1079701,High,30,Sample,,,
193,NSW1079701,High,30,Sample,,,
194,NSW1079701,High,30,Sample,,,
195,NSW1079701,High,30,Sample,,,
196,NSW1079701,High,30,Sample,,,
197,NSW1079701,High,30,Sample,,,
198,NSW1079701,High,30,Sample,,,
199,NSW1079701,High,30,Destructive,,,
200,NSW1079701,High,30,Destructive,,,
201,NSW1079701,High,60,Sample,,,
202,NSW1079701,High,60,Sample,,,
203,NSW1079701,High,60,Sample,,,
204,NSW1079701,High,60,Sample,,,
205,NSW1079701,High,60,Sample,,,
206,NSW1079701,High,60,Sample,,,
207,NSW1079701,High,60,Sample,,,
208,NSW1079701,High,60,Sample,,,
209,NSW1079701,High,60,Destructive,,,
210,NSW1079701,High,60,Destructive,,,
211,NSW1079701,Low,NA,Backup,,,
212,NSW1079701,Low,NA,Backup,,,
213,NSW1079701,Low,NA,Backup,,,
214,NSW1079701,Low,NA,Backup,,,
215,NSW1079701,Low,NA,Backup,,,
216,NSW1079701,Mid,NA,Backup,,,
217,NSW1079701,Mid,NA,Backup,,,
218,NSW1079701,Mid,NA,Backup,,,
219,NSW1079701,Mid,NA,Backup,,,
220,NSW1079701,Mid,NA,Backup,,,
221,NSW1079701,High,NA,Backup,,,
222,NSW1079701,High,NA,Backup,,,
223,NSW1079701,High,NA,Backup,,,
224,NSW1079701,High,NA,Backup,,,
225,NSW1079701,High,NA,Backup,,,
226,NSW1079677,Low,30,Sample,,,
227,NSW1079677,Low,30,Sample,,,
228,NSW1079677,Low,30,Sample,,,
229,NSW1079677,Low,30,Sample,,,
230,NSW1079677,Low,30,Sample,,,
231,NSW1079677,Low,30,Sample,,,
232,NSW1079677,Low,30,Sample,,,
233,NSW1079677,Low,30,Sample,,,
234,NSW1079677,Low,30,Destructive,,,
235,NSW1079677,Low,30,Destructive,,,
236,NSW1079677,Low,60,Sample,,,
237,NSW1079677,Low,60,Sample,,,
238,NSW1079677,Low,60,Sample,,,
239,NSW1079677,Low,60,Sample,,,
240,NSW1079677,Low,60,Sample,,,
241,NSW1079677,Low,60,Sample,,,
242,NSW1079677,Low,60,Sample,,,
243,NSW1079677,Low,60,Sample,,,
244,NSW1079677,Low,60,Destructive,,,
245,NSW1079677,Low,60,Destructive,,,
246,NSW1079677,Mid,30,Sample,,,
247,NSW1079677,Mid,30,Sample,,,
248,NSW1079677,Mid,30,Sample,,,
249,NSW1079677,Mid,30,Sample,,,
250,NSW1079677,Mid,30,Sample,,,
251,NSW1079677,Mid,30,Sample,,,
252,NSW1079677,Mid,30,Sample,,,
253,NSW1079677,Mid,30,Sample,,,
254,NSW1079677,Mid,30,Destructive,,,
255,NSW1079677,Mid,30,Destructive,,,
256,NSW1079677,Mid,60,Sample,,,
257,NSW1079677,Mid,60,Sample,,,
258,NSW1079677,Mid,60,Sample,,,
259,NSW1079677,Mid,60,Sample,,,
260,NSW1079677,Mid,60,Sample,,,
261,NSW1079677,Mid,60,Sample,,,
262,NSW1079677,Mid,60,Sample,,,
263,NSW1079677,Mid,60,Sample,,,
264,NSW1079677,Mid,60,Destructive,,,
265,NSW1079677,Mid,60,Destructive,,,
266,NSW1079677,High,30,Sample,,,
267,NSW1079677,High,30,Sample,,,
268,NSW1079677,High,30,Sample,,,
269,NSW1079677,High,30,Sample,,,
270,NSW1079677,High,30,Sample,,,
271,NSW1079677,High,30,Sample,,,
272,NSW1079677,High,30,Sample,,,
273,NSW1079677,High,30,Sample,,,
274,NSW1079677,High,30,Destructive,,,
275,NSW1079677,High,30,Destructive,,,
276,NSW1079677,High,60,Sample,,,
277,NSW1079677,High,60,Sample,,,
278,NSW1079677,High,60,Sample,,,
279,NSW1079677,High,60,Sample,,,
280,NSW1079677,High,60,Sample,,,
281,NSW1079677,High,60,Sample,,,
282,NSW1079677,High,60,Sample,,,
283,NSW1079677,High,60,Sample,,,
284,NSW1079677,High,60,Destructive,,,
285,NSW1079677,High,60,Destructive,,,
286,NSW1079677,Low,NA,Backup,,,
287,NSW1079677,Low,NA,Backup,,,
288,NSW1079677,Low,NA,Backup,,,
289,NSW1079677,Low,NA,Backup,,,
290,NSW1079677,Low,NA,Backup,,,
291,NSW1079677,Mid,NA,Backup,,,
292,NSW1079677,Mid,NA,Backup,,,
293,NSW1079677,Mid,NA,Backup,,,
294,NSW1079677,Mid,NA,Backup,,,
295,NSW1079677,Mid,NA,Backup,,,
296,NSW1079677,High,NA,Backup,,,
297,NSW1079677,High,NA,Backup,,,
298,NSW1079677,High,NA,Backup,,,
299,NSW1079677,High,NA,Backup,,,
300,NSW1079677,High,NA,Backup,,,
301,NSW1078656,Low,30,Sample,,,
302,NSW1078656,Low,30,Sample,,,
303,NSW1078656,Low,30,Sample,,,
304,NSW1078656,Low,30,Sample,,,
305,NSW1078656,Low,30,Sample,,,
306,NSW1078656,Low,30,Sample,,,
307,NSW1078656,Low,30,Sample,,,
308,NSW1078656,Low,30,Sample,,,
309,NSW1078656,Low,30,Destructive,,,
310,NSW1078656,Low,30,Destructive,,,
311,NSW1078656,Low,60,Sample,,,
312,NSW1078656,Low,60,Sample,,,
313,NSW1078656,Low,60,Sample,,,
314,NSW1078656,Low,60,Sample,,,
315,NSW1078656,Low,60,Sample,,,
316,NSW1078656,Low,60,Sample,,,
317,NSW1078656,Low,60,Sample,,,
318,NSW1078656,Low,60,Sample,,,
319,NSW1078656,Low,60,Destructive,,,
320,NSW1078656,Low,60,Destructive,,,
321,NSW1078656,Mid,30,Sample,,,
322,NSW1078656,Mid,30,Sample,,,
323,NSW1078656,Mid,30,Sample,,,
324,NSW1078656,Mid,30,Sample,,,
325,NSW1078656,Mid,30,Sample,,,
326,NSW1078656,Mid,30,Sample,,,
327,NSW1078656,Mid,30,Sample,,,
328,NSW1078656,Mid,30,Sample,,,
329,NSW1078656,Mid,30,Destructive,,,
330,NSW1078656,Mid,30,Destructive,,,
331,NSW1078656,Mid,60,Sample,,,
332,NSW1078656,Mid,60,Sample,,,
333,NSW1078656,Mid,60,Sample,,,
334,NSW1078656,Mid,60,Sample,,,
335,NSW1078656,Mid,60,Sample,,,
336,NSW1078656,Mid,60,Sample,,,
337,NSW1078656,Mid,60,Sample,,,
338,NSW1078656,Mid,60,Sample,,,
339,NSW1078656,Mid,60,Destructive,,,
340,NSW1078656,Mid,60,Destructive,,,
341,NSW1078656,High,30,Sample,,,
342,NSW1078656,High,30,Sample,,,
343,NSW1078656,High,30,Sample,,,
344,NSW1078656,High,30,Sample,,,
345,NSW1078656,High,30,Sample,,,
346,NSW1078656,High,30,Sample,,,
347,NSW1078656,High,30,Sample,,,
348,NSW1078656,High,30,Sample,,,
349,NSW1078656,High,30,Destructive,,,
350,NSW1078656,High,30,Destructive,,,
351,NSW1078656,High,60,Sample,,,
352,NSW1078656,High,60,Sample,,,
353,NSW1078656,High,60,Sample,,,
354,NSW1078656,High,60,Sample,,,
355,NSW1078656,High,60,Sample,,,
356,NSW1078656,High,60,Sample,,,
357,NSW1078656,High,60,Sample,,,
358,NSW1078656,High,60,Sample,,,
359,NSW1078656,High,60,Destructive,,,
360,NSW1078656,High,60,Destructive,,,
361,NSW1078656,Low,NA,Backup,,,
362,NSW1078656,Low,NA,Backup,,,
363,NSW1078656,Low,NA,Backup,,,
364,NSW1078656,Low,NA,Backup,,,
365,NSW1078656,Low,NA,Backup,,,
366,NSW1078656,Mid,NA,Backup,,,
367,NSW1078656,Mid,NA,Backup,,,
368,NSW1078656,Mid,NA,Backup,,,
369,NSW1078656,Mid,NA,Backup,,,
370,NSW1078656,Mid,NA,Backup,,,
371,NSW1078656,High,NA,Backup,,,
372,NSW1078656,High,NA,Backup,,,
373,NSW1078656,High,NA,Backup,,,
374,NSW1078656,High,NA,Backup,,,
375,NSW1078656,High,NA,Backup,,,
376,NSW1078647,Low,30,Sample,,,
377,NSW1078647,Low,30,Sample,,,
378,NSW1078647,Low,30,Sample,,,
379,NSW1078647,Low,30,Sample,,,
380,NSW1078647,Low,30,Sample,,,
381,NSW1078647,Low,30,Sample,,,
382,NSW1078647,Low,30,Sample,,,
383,NSW1078647,Low,30,Sample,,,
384,NSW1078647,Low,30,Destructive,,,
385,NSW1078647,Low,30,Destructive,,,
386,NSW1078647,Low,60,Sample,,,
387,NSW1078647,Low,60,Sample,,,
388,NSW1078647,Low,60,Sample,,,
389,NSW1078647,Low,60,Sample,,,
390,NSW1078647,Low,60,Sample,,,
391,NSW1078647,Low,60,Sample,,,
392,NSW1078647,Low,60,Sample,,,
393,NSW1078647,Low,60,Sample,,,
394,NSW1078647,Low,60,Destructive,,,
395,NSW1078647,Low,60,Destructive,,,
396,NSW1078647,Mid,30,Sample,,,
397,NSW1078647,Mid,30,Sample,,,
398,NSW1078647,Mid,30,Sample,,,
399,NSW1078647,Mid,30,Sample,,,
400,NSW1078647,Mid,30,Sample,,,
401,NSW1078647,Mid,30,Sample,,,
402,NSW1078647,Mid,30,Sample,,,
403,NSW1078647,Mid,30,Sample,,,
404,NSW1078647,Mid,30,Destructive,,,
405,NSW1078647,Mid,30,Destructive,,,
406,NSW1078647,Mid,60,Sample,,,
407,NSW1078647,Mid,60,Sample,,,
408,NSW1078647,Mid,60,Sample,,,
409,NSW1078647,Mid,60,Sample,,,
410,NSW1078647,Mid,60,Sample,,,
411,NSW1078647,Mid,60,Sample,,,
412,NSW1078647,Mid,60,Sample,,,
413,NSW1078647,Mid,60,Sample,,,
414,NSW1078647,Mid,60,Destructive,,,
415,NSW1078647,Mid,60,Destructive,,,
416,NSW1078647,High,30,Sample,,,
417,NSW1078647,High,30,Sample,,,
418,NSW1078647,High,30,Sample,,,
419,NSW1078647,High,30,Sample,,,
420,NSW1078647,High,30,Sample,,,
421,NSW1078647,High,30,Sample,,,
422,NSW1078647,High,30,Sample,,,
423,NSW1078647,High,30,Sample,,,
424,NSW1078647,High,30,Destructive,,,
425,NSW1078647,High,30,Destructive,,,
426,NSW1078647,High,60,Sample,,,
427,NSW1078647,High,60,Sample,,,
428,NSW1078647,High,60,Sample,,,
429,NSW1078647,High,60,Sample,,,
430,NSW1078647,High,60,Sample,,,
431,NSW1078647,High,60,Sample,,,
432,NSW1078647,High,60,Sample,,,
433,NSW1078647,High,60,Sample,,,
434,NSW1078647,High,60,Destructive,,,
435,NSW1078647,High,60,Destructive,,,
436,NSW1078647,Low,NA,Backup,,,
437,NSW1078647,Low,NA,Backup,,,
438,NSW1078647,Low,NA,Backup,,,
439,NSW1078647,Low,NA,Backup,,,
440,NSW1078647,Low,NA,Backup,,,
441,NSW1078647,Mid,NA,Backup,,,
442,NSW1078647,Mid,NA,Backup,,,
443,NSW1078647,Mid,NA,Backup,,,
444,NSW1078647,Mid,NA,Backup,,,
445,NSW1078647,Mid,NA,Backup,,,
446,NSW1078647,High,NA,Backup,,,
447,NSW1078647,High,NA,Backup,,,
448,NSW1078647,High,NA,Backup,,,
449,NSW1078647,High,NA,Backup,,,
450,NSW1078647,High,NA,Backup,,,
451,NSW1079692,Low,30,Sample,,,
452,NSW1079692,Low,30,Sample,,,
453,NSW1079692,Low,30,Sample,,,
454,NSW1079692,Low,30,Sample,,,
455,NSW1079692,Low,30,Sample,,,
456,NSW1079692,Low,30,Sample,,,
457,NSW1079692,Low,30,Sample,,,
458,NSW1079692,Low,30,Sample,,,
459,NSW1079692,Low,30,Destructive,,,
460,NSW1079692,Low,30,Destructive,,,
461,NSW1079692,Low,60,Sample,,,
462,NSW1079692,Low,60,Sample,,,
463,NSW1079692,Low,60,Sample,,,
464,NSW1079692,Low,60,Sample,,,
465,NSW1079692,Low,60,Sample,,,
466,NSW1079692,Low,60,Sample,,,
467,NSW1079692,Low,60,Sample,,,
468,NSW1079692,Low,60,Sample,,,
469,NSW1079692,Low,60,Destructive,,,
470,NSW1079692,Low,60,Destructive,,,
471,NSW1079692,Mid,30,Sample,,,
472,NSW1079692,Mid,30,Sample,,,
473,NSW1079692,Mid,30,Sample,,,
474,NSW1079692,Mid,30,Sample,,,
475,NSW1079692,Mid,30,Sample,,,
476,NSW1079692,Mid,30,Sample,,,
477,NSW1079692,Mid,30,Sample,,,
478,NSW1079692,Mid,30,Sample,,,
479,NSW1079692,Mid,30,Destructive,,,
480,NSW1079692,Mid,30,Destructive,,,
481,NSW1079692,Mid,60,Sample,,,
482,NSW1079692,Mid,60,Sample,,,
483,NSW1079692,Mid,60,Sample,,,
484,NSW1079692,Mid,60,Sample,,,
485,NSW1079692,Mid,60,Sample,,,
486,NSW1079692,Mid,60,Sample,,,
487,NSW1079692,Mid,60,Sample,,,
488,NSW1079692,Mid,60,Sample,,,
489,NSW1079692,Mid,60,Destructive,,,
490,NSW1079692,Mid,60,Destructive,,,
491,NSW1079692,High,30,Sample,,,
492,NSW1079692,High,30,Sample,,,
493,NSW1079692,High,30,Sample,,,
494,NSW1079692,High,30,Sample,,,
495,NSW1079692,High,30,Sample,,,
496,NSW1079692,High,30,Sample,,,
497,NSW1079692,High,30,Sample,,,
498,NSW1079692,High,30,Sample,,,
499,NSW1079692,High,30,Destructive,,,
500,NSW1079692,High,30,Destructive,,,
501,NSW1079692,High,60,Sample,,,
502,NSW1079692,High,60,Sample,,,
503,NSW1079692,High,60,Sample,,,
504,NSW1079692,High,60,Sample,,,
505,NSW1079692,High,60,Sample,,,
506,NSW1079692,High,60,Sample,,,
507,NSW1079692,High,60,Sample,,,
508,NSW1079692,High,60,Sample,,,
509,NSW1079692,High,60,Destructive,,,
510,NSW1079692,High,60,Destructive,,,
511,NSW1079692,Low,NA,Backup,,,
512,NSW1079692,Low,NA,Backup,,,
513,NSW1079692,Low,NA,Backup,,,
514,NSW1079692,Low,NA,Backup,,,
515,NSW1079692,Low,NA,Backup,,,
516,NSW1079692,Mid,NA,Backup,,,
517,NSW1079692,Mid,NA,Backup,,,
518,NSW1079692,Mid,NA,Backup,,,
519,NSW1079692,Mid,NA,Backup,,,
520,NSW1079692,Mid,NA,Backup,,,
521,NSW1079692,High,NA,Backup,,,
522,NSW1079692,High,NA,Backup,,,
523,NSW1079692,High,NA,Backup,,,
524,NSW1079692,High,NA,Backup,,,
525,NSW1079692,High,NA,Backup,,,
526,NSW1078653,Low,30,Sample,,,
527,NSW1078653,Low,30,Sample,,,
528,NSW1078653,Low,30,Sample,,,
529,NSW1078653,Low,30,Sample,,,
530,NSW1078653,Low,30,Sample,,,
531,NSW1078653,Low,30,Sample,,,
532,NSW1078653,Low,30,Sample,,,
533,NSW1078653,Low,30,Sample,,,
534,NSW1078653,Low,30,Destructive,,,
535,NSW1078653,Low,30,Destructive,,,
536,NSW1078653,Low,60,Sample,,,
537,NSW1078653,Low,60,Sample,,,
538,NSW1078653,Low,60,Sample,,,
539,NSW1078653,Low,60,Sample,,,
540,NSW1078653,Low,60,Sample,,,
541,NSW1078653,Low,60,Sample,,,
542,NSW1078653,Low,60,Sample,,,
543,NSW1078653,Low,60,Sample,,,
544,NSW1078653,Low,60,Destructive,,,
545,NSW1078653,Low,60,Destructive,,,
546,NSW1078653,Mid,30,Sample,,,
547,NSW1078653,Mid,30,Sample,,,
548,NSW1078653,Mid,30,Sample,,,
549,NSW1078653,Mid,30,Sample,,,
550,NSW1078653,Mid,30,Sample,,,
551,NSW1078653,Mid,30,Sample,,,
552,NSW1078653,Mid,30,Sample,,,
553,NSW1078653,Mid,30,Sample,,,
554,NSW1078653,Mid,30,Destructive,,,
555,NSW1078653,Mid,30,Destructive,,,
556,NSW1078653,Mid,60,Sample,,,
557,NSW1078653,Mid,60,Sample,,,
558,NSW1078653,Mid,60,Sample,,,
559,NSW1078653,Mid,60,Sample,,,
560,NSW1078653,Mid,60,Sample,,,
561,NSW1078653,Mid,60,Sample,,,
562,NSW1078653,Mid,60,Sample,,,
563,NSW1078653,Mid,60,Sample,,,
564,NSW1078653,Mid,60,Destructive,,,
565,NSW1078653,Mid,60,Destructive,,,
566,NSW1078653,High,30,Sample,,,
567,NSW1078653,High,30,Sample,,,
568,NSW1078653,High,30,Sample,,,
569,NSW1078653,High,30,Sample,,,
570,NSW1078653,High,30,Sample,,,
571,NSW1078653,High,30,Sample,,,
572,NSW1078653,High,30,Sample,,,
573,NSW1078653,High,30,Sample,,,
574,NSW1078653,High,30,Destructive,,,
575,NSW1078653,High,30,Destructive,,,
576,NSW1078653,High,60,Sample,,,
577,NSW1078653,High,60,Sample,,,
578,NSW1078653,High,60,Sample,,,
579,NSW1078653,High,60,Sample,,,
580,NSW1078653,High,60,Sample,,,
581,NSW1078653,High,60,Sample,,,
582,NSW1078653,High,60,Sample,,,
583,NSW1078653,High,60,Sample,,,
584,NSW1078653,High,60,Destructive,,,
585,NSW1078653,High,60,Destructive,,,
586,NSW1078653,Low,NA,Backup,,,
587,NSW1078653,Low,NA,Backup,,,
588,NSW1078653,Low,NA,Backup,,,
589,NSW1078653,Low,NA,Backup,,,
590,NSW1078653,Low,NA,Backup,,,
591,NSW1078653,Mid,NA,Backup,,,
592,NSW1078653,Mid,NA,Backup,,,
593,NSW1078653,Mid,NA,Backup,,,
594,NSW1078653,Mid,NA,Backup,,,
595,NSW1078653,Mid,NA,Backup,,,
596,NSW1078653,High,NA,Backup,,,
597,NSW1078653,High,NA,Backup,,,
598,NSW1078653,High,NA,Backup,,,
599,NSW1078653,High,NA,Backup,,,
600,NSW1078653,High,NA,Backup,,,
601,NSW1079715,Low,30,Sample,,,
602,NSW1079715,Low,30,Sample,,,
603,NSW1079715,Low,30,Sample,,,
604,NSW1079715,Low,30,Sample,,,
605,NSW1079715,Low,30,Sample,,,
606,NSW1079715,Low,30,Sample,,,
607,NSW1079715,Low,30,Sample,,,
608,NSW1079715,Low,30,Sample,,,
609,NSW1079715,Low,30,Destructive,,,
610,NSW1079715,Low,30,Destructive,,,
611,NSW1079715,Low,60,Sample,,,
612,NSW1079715,Low,60,Sample,,,
613,NSW1079715,Low,60,Sample,,,
614,NSW1079715,Low,60,Sample,,,
615,NSW1079715,Low,60,Sample,,,
616,NSW1079715,Low,60,Sample,,,
617,NSW1079715,Low,60,Sample,,,
618,NSW1079715,Low,60,Sample,,,
619,NSW1079715,Low,60,Destructive,,,
620,NSW1079715,Low,60,Destructive,,,
621,NSW1079715,Mid,30,Sample,,,
622,NSW1079715,Mid,30,Sample,,,
623,NSW1079715,Mid,30,Sample,,,
624,NSW1079715,Mid,30,Sample,,,
625,NSW1079715,Mid,30,Sample,,,
626,NSW1079715,Mid,30,Sample,,,
