"","X","IID","Mat_Line","Drought_sev","Drought_len","Type","block_num","block_cell","block_cell_2"
"1",1,504,"NSW1079692","High",60,"Sample","71_money",1,17
"2",2,202,"NSW1079701","High",60,"Sample","71_money",1,17
"3",3,434,"NSW1078647","High",60,"Destructive","71_money",1,17
"4",4,135,"NSW1079714","High",60,"Destructive","71_money",1,17
"5",5,466,"NSW1079692","Low",60,"Sample","71_money",1,17
"6",6,167,"NSW1079701","Low",60,"Sample","71_money",1,17
"7",7,536,"NSW1078653","Low",60,"Sample","71_money",1,17
"8",8,468,"NSW1079692","Low",60,"Sample","71_money",1,17
"9",9,490,"NSW1079692","Mid",60,"Destructive","71_money",1,17
"10",10,556,"NSW1078653","Mid",60,"Sample","71_money",1,17
"11",11,34,"NSW1079717","Mid",60,"Sample","71_money",1,17
"12",12,110,"NSW1079714","Mid",60,"Sample","71_money",1,17
"13",13,120,"NSW1079714","High",30,"Sample","6_away",2,NA
"14",14,567,"NSW1078653","High",30,"Sample","6_away",2,NA
"15",15,342,"NSW1078656","High",30,"Sample","6_away",2,NA
"16",16,200,"NSW1079701","High",30,"Destructive","6_away",2,NA
"17",17,607,"NSW1079715","Low",30,"Sample","6_away",2,NA
"18",18,82,"NSW1079714","Low",30,"Sample","6_away",2,NA
"19",19,609,"NSW1079715","Low",30,"Destructive","6_away",2,NA
"20",20,3,"NSW1079717","Low",30,"Sample","6_away",2,NA
"21",21,476,"NSW1079692","Mid",30,"Sample","6_away",2,NA
"22",22,22,"NSW1079717","Mid",30,"Sample","6_away",2,NA
"23",23,473,"NSW1079692","Mid",30,"Sample","6_away",2,NA
"24",24,173,"NSW1079701","Mid",30,"Sample","6_away",2,NA
"25",25,416,"NSW1078647","High",30,"Sample","22_Mark",3,NA
"26",26,123,"NSW1079714","High",30,"Sample","22_Mark",3,NA
"27",27,717,"NSW1078641","High",30,"Sample","22_Mark",3,NA
"28",28,421,"NSW1078647","High",30,"Sample","22_Mark",3,NA
"29",29,229,"NSW1079677","Low",30,"Sample","22_Mark",3,NA
"30",30,451,"NSW1079692","Low",30,"Sample","22_Mark",3,NA
